東京リベンジャーズ	3.5	257
ふしぎ駄菓子屋 銭天堂	3.5	23
僕のヒーローアカデミア	4	74
フルーツバスケット The Final	4.5	56
戦闘員、派遣します！	3.5	155
ひげを剃る。そして女子高生を拾う。	3.5	400
シャドーハウス	4	151
憂国のモリアーティ	3.5	169
蜘蛛ですが、なにか？	3	656
TVアニメ「スーパーカブ」	3	646
PUI PUI モルカー	4.5	372
SHAMAN KING	3	96
聖女の魔力は万能です	3.5	240
キングダム 第3シリーズ	4	162
幼なじみが絶対に負けないラブコメ	2	104
恋と呼ぶには気持ち悪い	3.5	154
転生したらスライムだった件 転スラ日記	4	177
ゾンビランドサガ リベンジ	4.5	228
ましろのおと	4	189
転生したらスライムだった件 第2期	4.5	1313
ドラゴンクエスト ダイの大冒険(2020)　	4	633
不滅のあなたへ	4	233
スライム倒して300年、知らないうちにレベルMAXになってました	3	213
SSSS.DYNAZENON	3.5	241
究極進化したフルダイブRPGが現実よりもクソゲーだったら	2.5	258
８６-エイティシックス-	3.5	194
オッドタクシー	4.5	271
Vivy -Fluorite Eye's Song-	4.5	522
はたらく細胞!!	3.5	104
約束のネバーランド	2	1134
ウマ娘 プリティーダービー	5	595
灼熱カバディ	3.5	66
呪術廻戦	3.5	817
ドラゴン、家を買う。	3	181
進撃の巨人	4	494
MARS RED	3.5	81
バクテン!!	4	48
はたらく細胞BLACK	4	192
Dr.STONE	4	132
ゆるキャン△.	4.5	282
Re:ゼロから始める異世界生活	3.5	491
魔道祖師	3.5	286
美少年探偵団	4	72
五等分の花嫁∬	4	124
TVアニメ『さよなら私のクラマー』	2.5	91
ホリミヤ	3.5	177
新幹線変形ロボ シンカリオンＺ	3	18
妖怪学園Y Nとの遭遇（妖怪ウォッチJam）	4	24
iiiあいすくりん	4	7
セブンナイツレボリューション-英雄の継承者-	2.5	48
NOMAD メガロボクス２	4	77
無職転生 異世界行ったら本気だす	4	764
ワールドトリガー 2ndシーズン	4.5	197
バック・アロウ	3.5	122
怪物事変	4	133
擾乱 THE PRINCESS OF SNOW AND BLOOD	3	55
回復術士のやり直し	2.5	728
おそ松さん	3	126
おしりたんてい	4	13
すばらしきこのせかい The Animation	3.5	60
トミカ絆合体 アースグランナー	3	24
俺だけ入れる隠しダンジョン	2.5	477
たとえばラストダンジョン前の村の少年が序盤の街で暮らすような物語	2.5	284
天地創造デザイン部	4	139
ひぐらしのなく頃に業	3.5	302
のんのんびより のんすとっぷ	4.5	115
のりものまん モービルランドのカークン	3.5	7
やくならマグカップも	2.5	106
2.43 清陰高校男子バレー部	3	87
宇宙なんちゃら こてつくん	4.5	5
半妖の夜叉姫	3	170
SK∞ エスケーエイト	4	107
文豪ストレイドッグス わん！	3.5	12
怪病医ラムネ	4	81
弱キャラ友崎くん	3	270
Fairy蘭丸あなたの心お助けします	4	33
BLUE REFLECTION RAY/澪	3	30
裏世界ピクニック	3	225
オルタンシア・サーガ	3	71
EX-ARMエクスアーム	1.5	562
TVアニメ「IDOLY PRIDE -アイドリープライド-」	3.5	53
真・中華一番！	2.5	92
カードファイト!! ヴァンガード overDress	3	18
おとなの防具屋さん　ラグジュアリー版	2.5	50
プレイタの傷	3	36
スケートリーディング☆スターズ	2.5	31
爆丸ジオガンライジング	3	3
ぶらどらぶ	3.5	72
D4DJ　First Mix	3.5	44
ぷっちみく♪ D4DJ Petit Mix	3.5	6
魔術士オーフェンはぐれ旅	2.5	15
装甲娘戦機	3	80
爆丸アーマードアライアンス	3.5	5
【キャストオーディオコメンタリー付き】究極進化したフルダイブRPGが現実よりもクソゲ-だったら	2	4
アイ★チュウ	3.5	24
SHOW BY ROCK!! STARS!!	3	33
TVアニメ「ゲキドル」	3	22
